label,n,mean_s_net,median_s_net,mean_c_net,mean_delta,median_delta,pct_pos,ci_lo,ci_hi,n_outliers,top_share
ALL (with pool data),187,-0.019371580213903748,-0.03375470000000002,-0.029640970588235293,0.010269390374331545,-0.0006365999999999872,0.4919786096256685,-0.006734721047772663,0.027273501796435753,49,0.042906719199227374
BREADTH_POSITIVE (>60%),13,-0.0333183230769231,-0.00869589999999997,-0.014347776923076906,-0.01897054615384619,0.03107149999999992,0.6923076923076923,-0.10487194410680216,0.06693085179910978,5,0.3227579798021966
BREADTH_NEGATIVE (<=60%),174,-0.01832958218390805,-0.034670799999999995,-0.030783565517241377,0.012453983333333328,-0.0038516000000000106,0.47701149425287354,-0.004650814267127323,0.02955878093379398,44,0.04740018213088829
MEDIAN_R_M5_POSITIVE (>0),67,-0.031047368656716423,-0.03142250000000001,-0.026898305970149253,-0.004149062686567169,-0.0005129999999999857,0.4925373134328358,-0.02854105990098766,0.02024293452785332,18,0.09490271510462041
MEDIAN_R_M5_NEGATIVE (<=0),120,-0.012852598333333338,-0.034501300000000006,-0.031172291666666664,0.018319693333333324,-0.0015035999999999938,0.49166666666666664,-0.004344890023163319,0.04098427668982997,31,0.06332191464179847
SIGNAL_R_M5_TOP_TERCILE,185,-0.018805121081081084,-0.03364900000000003,-0.028799530810810808,0.009994409729729722,-0.0006365999999999872,0.4918918918918919,-0.007160575400200037,0.027149394859659483,49,0.0432899334950338
SIGNAL_R_M5_BOT_TERCILE,2,-0.07176904999999999,-0.07176904999999999,-0.10747414999999999,0.035705100000000004,0.035705100000000004,0.5,-0.09134889999999989,0.16275909999999988,0,0.781023029577975
SIGNAL_R_M5_TOP_QUINTILE,153,-0.01755195032679739,-0.03375470000000002,-0.025881667973856205,0.008329717647058813,-0.0066806000000000365,0.47058823529411764,-0.011648772760336438,0.028308208054454064,42,0.05009422797792151
SIGNAL_R_M5_BOT_QUINTILE,34,-0.027559914705882347,-0.029527099999999966,-0.04655783235294118,0.01899791764705883,0.010129050000000025,0.5882352941176471,-0.007049782211347624,0.045045617505465284,7,0.07261229666851521
BOTH_POSITIVE (breadth+median),13,-0.0333183230769231,-0.00869589999999997,-0.014347776923076906,-0.01897054615384619,0.03107149999999992,0.6923076923076923,-0.10487194410680216,0.06693085179910978,5,0.3227579798021966
